Fighter,Elo Rating,Record,Unbeaten Streak,Strength of Schedule
Jon Jones,1475.092770862307,22-1-0,19,1278.7674753897268
Georges St-Pierre,1446.4489191383,20-2-0,13,1272.2472094933707
Islam Makhachev,1438.5092601654612,17-1-0,16,1284.6600340109007
Merab Dvalishvili,1399.682213444286,15-2-0,15,1260.446144394938
Khabib Nurmagomedov,1392.587458988321,13-0-0,13,1265.623464592136
Kamaru Usman,1392.4582630924538,17-3-0,2,1294.4341783896346
Amanda Nunes,1377.6813260768934,16-2-0,2,1235.3252924098058
Alexander Volkanovski,1377.1385747768156,15-3-0,2,1298.9704043567958
Max Holloway,1377.0990451541077,22-8-0,0,1269.6356107497716
Magomed Ankalaev,1376.5281223870695,13-1-1,14,1251.233113625009
Alexandre Pantoja,1372.1755435657371,16-3-0,10,1229.824459843098
Valentina Shevchenko,1371.9659951170422,15-3-1,4,1255.6945370161905
Ilia Topuria,1371.6581319291306,10-0-0,10,1301.2032770190424
Dricus Du Plessis,1370.0554037748295,10-0-0,10,1299.8985624789775
Demetrious Johnson,1368.641555133753,15-2-1,0,1237.6958874458398
Francis Ngannou,1363.7793101663563,12-2-0,6,1280.6704784540364
Beneil Dariush,1363.6617539321478,18-6-1,2,1261.7810089919792
Dustin Poirier,1363.1307985915932,22-8-0,0,1261.0078738008108
Movsar Evloev,1359.4454465358829,10-0-0,10,1270.2827506896533
Grant Dawson,1353.7055045606319,12-1-1,4,1241.7542697391223
Belal Muhammad,1352.1895837213622,15-5-0,0,1269.0502974064073
Ciryl Gane,1351.564838885961,11-2-0,3,1292.6170085578533
Jack Della Maddalena,1351.519725400043,9-0-0,9,1283.9863742418581
Robert Whittaker,1348.8747758462855,17-6-0,0,1268.9089924908692
Charles Oliveira,1347.9611038023525,23-12-0,0,1265.4421106702782
Zhang Weili,1346.871165967664,11-2-0,6,1271.5945647770145
Stipe Miocic,1345.819628011224,14-5-0,0,1294.448946588068
Leon Edwards,1341.1540357349422,14-5-0,0,1282.0610469253484
Joshua Van,1341.0203515857413,12-1-0,9,1202.0539297382898
Curtis Blaydes,1340.7575829020732,15-5-0,2,1255.312275666546
Aljamain Sterling,1340.1407105311587,16-6-0,0,1271.4988224010008
Sean Brady,1339.8634613486317,9-1-0,4,1288.4643163695278
Ryan Bader,1339.3113105195557,15-5-0,2,1247.0851917184682
Daniel Cormier,1337.8625966184168,11-3-0,0,1312.7287739204653
Cory Sandhagen,1337.7663394670572,12-4-0,2,1289.6629804235527
Lerone Murphy,1337.0911541135492,9-0-1,10,1247.0959306549357
Khamzat Chimaev,1336.7732615085342,8-0-0,8,1280.7413547110743
Jon Fitch,1334.4405605258617,14-3-1,0,1241.5608095374873
Shavkat Rakhmonov,1332.3535046923876,8-0-0,8,1275.1234531997234
Song Yadong,1331.005182761801,12-3-1,2,1252.7323173760976
Mario Bautista,1330.926203644191,11-2-0,9,1221.1322162079794
Michael Chiesa,1328.388912870345,16-7-0,5,1248.8371742919005
Arnold Allen,1325.1343217352774,11-2-0,1,1247.417306622738
Carlos Ulberg,1324.4974079005838,9-1-0,9,1234.653698346865
Nassourdine Imavov,1324.4448479974976,9-2-0,5,1265.2074632889742
Cain Velasquez,1323.9479277095493,12-3-0,0,1256.985594714062
Michael Bisping,1322.672944551212,20-9-0,0,1243.3081585823084
Arman Tsarukyan,1322.570813542271,9-2-0,4,1265.4077944282408
Jailton Almeida,1322.4038883056587,9-1-0,3,1249.1971398976364
TJ Dillashaw,1322.2760925515836,13-5-0,0,1260.2728217119318
Glover Teixeira,1321.4283688098724,16-7-0,0,1264.796784299141
Justin Gaethje,1321.1312156995004,10-5-0,2,1315.1789224469758
Benson Henderson,1321.051159313427,11-3-0,2,1271.5512442466454
Montel Jackson,1320.5304593600245,10-2-0,7,1225.6752265654015
Natalia Silva,1320.1502957166708,8-0-0,8,1231.8704663868314
Tom Aspinall,1318.023765044498,8-1-0,3,1269.226660067544
Rose Namajunas,1317.2236987234317,13-6-0,2,1264.4449825479862
Anthony Hernandez,1317.1195616277953,9-2-0,8,1239.4439876595295
Michael Morales,1316.4553856349223,7-0-0,7,1264.075852301158
Jasmine Jasudavicius,1316.2080883271037,10-2-0,7,1218.7451609882314
Demian Maia,1315.5979082309034,22-11-0,0,1255.6183749109578
Francisco Trinaldo,1315.0156480481676,18-8-0,0,1233.5381555712668
Yair Rodriguez,1314.9346438553769,12-4-0,2,1256.3325960119705
Paddy Pimblett,1314.4728379514486,8-0-0,8,1215.9060529896444
Randy Brown,1313.6870941287127,15-7-0,1,1242.8330376926333
Waldo Cortes-Acosta,1313.3614297893107,9-1-0,7,1211.3558005508567
Anthony Johnson,1311.228533433425,13-6-0,0,1249.8442473430905
Don Frye,1311.0550493831192,9-1-0,3,1220.4733999918456
Dominick Reyes,1310.3497451307946,11-4-0,5,1255.3858967137678
Chris Gutierrez,1310.2319574301998,11-3-1,3,1226.0587326361417
Marcin Tybura,1310.1300158305933,15-8-0,3,1238.8383239390914
Brandon Moreno,1309.8698371378102,12-5-2,3,1258.3094874903588
Alex Pereira,1308.8668387652153,9-3-0,0,1300.4568953174671
Jean Silva,1308.8268408527863,7-0-0,7,1237.5026523577174
Gegard Mousasi,1308.6489963620934,9-3-0,5,1258.4644611559577
Dong Hyun Kim,1308.5648556413873,13-4-0,0,1228.9370305117127
Matt Hughes,1308.1956963591313,18-7-0,0,1232.8620864082293
Mateusz Gamrot,1308.0468970474,9-3-0,2,1267.4532532207452
Roman Dolidze,1307.7641499596289,10-3-0,4,1239.635656302054
Bryan Battle,1306.7252331282561,8-1-0,5,1227.986030375672
Caio Borralho,1306.6398939283047,7-0-0,7,1230.1451097883312
Joaquin Buckley,1305.242209078361,12-6-0,0,1256.3186019207108
Nasrat Haqparast,1304.312031907372,11-4-0,6,1220.2587773093053
John Lineker,1304.1791581657135,12-4-0,0,1223.9461382166176
Virna Jandiroba,1303.7346692821584,9-3-0,6,1239.2942413182748
Sean Strickland,1303.6095045565178,16-8-0,0,1256.5226089008102
Conor McGregor,1302.1380723991392,10-4-0,0,1293.112774549177
Petr Yan,1301.9581343634702,10-4-0,2,1278.5003196700004
Muhammad Mokaev,1301.857594601101,7-0-0,7,1213.3752802473512
Dan Hooker,1301.6222473921212,14-8-0,3,1251.4265541288282
Vicente Luque,1301.5312905584672,17-8-0,0,1245.813721605802
Lyoto Machida,1301.4543687934852,16-8-0,2,1262.5145448023045
Royce Gracie,1301.2294436174648,8-1-1,0,1232.1061592222532
Chase Hooper,1300.7900550338707,10-3-0,7,1206.1267911328744
Rustam Khabilov,1300.7671326582756,10-3-0,1,1232.4413397239657
Gillian Robertson,1300.239257267828,14-6-0,5,1206.930823373143
Maycee Barber,1300.2101286028837,9-2-0,6,1216.0721541480282
Raquel Pennington,1299.842174847844,13-6-0,0,1230.084828916437
Randy Couture,1299.7540277741602,16-8-0,0,1256.7878746467316
Ricky Simon,1299.4733485807283,12-5-0,4,1236.8135252234633
Deiveson Figueiredo,1298.784554757907,13-6-1,0,1272.2279879039206
Melquizael Costa,1298.6206227118864,8-2-0,7,1230.3012915305378
Derrick Lewis,1298.6158377097086,19-10-0,1,1248.8043503270383
Tagir Ulanbekov,1298.5752923858865,8-1-0,6,1206.315251031142
Joseph Benavidez,1298.025172607828,15-6-0,0,1236.185297439462
Rob Font,1297.7646219141343,13-7-0,3,1255.010624882624
Erin Blanchfield,1297.5763390871089,7-1-0,1,1256.6668776338213
Aiemann Zahabi,1297.4675780177643,8-2-0,7,1227.4840004376429
Derek Brunson,1297.4433975524314,14-7-0,0,1255.3103214532496
Jake Matthews,1297.0186580101229,15-7-0,3,1218.6292543288055
Israel Adesanya,1296.9062370343074,13-6-0,0,1292.8785863351532
Joel Alvarez,1296.6548424384307,8-2-0,4,1232.1994433771142
JunYong Park,1296.588316328831,10-3-0,3,1208.1276216423912
Neil Magny,1296.5147233582081,22-12-0,0,1250.148794470905
Colby Covington,1296.4075479646872,12-6-0,0,1288.7575345292628
Norma Dumont,1296.281992165121,8-2-0,5,1228.8082643211314
Alexander Volkov,1295.8830704221673,12-6-0,0,1269.967932343892
Ian Garry,1295.522870334691,6-0-0,6,1235.8372419329496
Raoni Barcelos,1295.374734681523,11-4-0,5,1219.3212034058517
Alonzo Menifield,1295.2700737853718,12-5-1,4,1219.4308694848144
Sean O'Malley,1295.0659639326304,10-4-0,0,1268.5962070331332
Jared Cannonier,1294.1298703153818,12-8-0,2,1268.8767000712471
Daniel Rodriguez,1294.0145691486741,10-4-0,3,1249.1032207213957
Nathaniel Wood,1293.8133908644575,10-3-0,3,1214.4507341048711
Fares Ziam,1292.5523716914236,8-2-0,6,1216.6823334587768
Sergei Pavlovich,1292.534798257113,8-3-0,2,1268.779596764595
Fabricio Werdum,1292.2644317558868,12-6-0,1,1255.939576680056
Chepe Mariscal,1291.6655049201038,6-0-0,6,1224.346438611951
Amanda Lemos,1291.6150326298862,10-4-0,2,1237.6683889138621
Kenny Florian,1291.5403439697288,12-5-0,0,1232.144792647422
Azamat Murzakanov,1291.4150342552762,6-0-0,6,1223.6382948446278
Kevin Holland,1290.631894556021,17-11-0,2,1247.7502354956564
